episode,avg_reward,avg_loss,avg_td_error,capital,sma_reward
156.0,-103.57142857142857,3.5741837592352006,-63.404215494791664,0.0,-116.21428571428574
157.0,-115.0,3.199217603320167,-72.04109700520833,0.0,-113.85714285714286
158.0,-103.57142857142857,3.925898063750494,-53.606712704613095,0.0,-113.57142857142858
159.0,-92.85714285714286,4.055453879492624,-76.29799107142857,0.0,-112.0
160.0,-119.28571428571429,4.399441060565767,-92.56158737909226,0.0,-113.85714285714286
161.0,-110.0,3.4032485825674876,-87.56090727306548,0.0,-112.5
162.0,-116.42857142857143,4.310867241450718,-71.79685756138393,0.0,-111.57142857142858
163.0,-110.0,3.678551583063035,-58.77031017485119,0.0,-112.21428571428571
164.0,-120.71428571428571,3.861410697301229,-89.77880278087798,0.0,-112.0
165.0,-112.14285714285714,3.903705846695673,-68.70914713541667,0.0,-110.35714285714286
166.0,-93.57142857142857,4.656326611836751,-90.32659621465774,0.0,-109.35714285714286
167.0,-120.0,3.830041226886568,-69.91456240699405,0.0,-109.85714285714286
168.0,-93.57142857142857,4.55513106073652,-60.197021484375,0.0,-108.85714285714286
169.0,-120.71428571428571,3.7088199115934826,-36.71785191127232,0.0,-111.64285714285714
170.0,-114.28571428571429,3.6066390559786843,-51.620733351934526,0.0,-111.14285714285714
171.0,-115.0,4.401471637544178,-63.18492489769345,0.0,-111.64285714285714
172.0,-118.57142857142857,5.091445468720936,-69.23216029575893,0.0,-111.85714285714286
173.0,-100.71428571428571,3.567541871752058,-7.5565984816778276,0.0,-110.92857142857142
174.0,-90.71428571428571,4.143335251581101,-58.606375558035715,0.0,-107.92857142857142
175.0,-108.57142857142857,4.359354450589135,-69.54710170200893,0.0,-107.57142857142858
176.0,-115.0,4.033390749068487,-60.70970517113095,0.0,-109.71428571428571
177.0,-97.85714285714286,3.509741737729027,-53.860020228794646,0.0,-107.5
178.0,-105.71428571428571,3.828402700878325,-55.02325148809524,0.0,-108.71428571428571
179.0,-87.14285714285714,4.2072127887180875,-56.860514322916664,0.0,-105.35714285714285
180.0,-115.0,3.74543419338408,-71.39606003534226,0.0,-105.42857142857142
181.0,-99.28571428571429,4.784967456545148,-110.32412574404762,0.0,-103.85714285714286
182.0,-100.71428571428571,3.8417527107965377,-57.38020252046131,0.0,-102.07142857142857
183.0,-114.28571428571429,3.5610587369827997,-69.66599818638393,0.0,-103.42857142857142
184.0,-105.0,4.144975378399804,-89.28850446428571,0.0,-104.85714285714286
185.0,-115.0,3.2235252289544967,-71.65657552083333,0.0,-105.5
186.0,-95.0,4.081708136058989,-97.38055710565476,0.0,-103.5
187.0,-83.57142857142857,4.867296105339413,-117.45804268973214,0.0,-102.07142857142858
